,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
12895,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,tt1091751,en,The Longshots,"The true story of Jasmine Plummer who, at the age of eleven, became the first female to play in Pop Warner football tournament in its 56-year history.",5.48672,/7m2uq8Is8nOfq4GKAUOPqddiSGd.jpg,"[{'name': 'Cube Vision', 'id': 2780}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",22/8/2008,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Longshots,FALSE,6.5,11
442,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,tt0109783,en,The Favor,"Kathy is married to Peter. Now she can't help but wonder how things could have been if she got together with her old boyfriend, Tom. Being married prevents from doing that so she asks her friend, Emily to go to him and see if she can sleep with him then tell Kathy how it was. When Emily tells Kathy that things were awesome, their friendship suffers, at the same so does Kathy's marriage. Things get even more complicated when Emily learns she's pregnant, and she's not certain if it's Tom's or her boyfriend, Elliot.",1.344876,/eKpxCQllaktjfqR11ITbYstcHmD.jpg,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Nelson Entertainment', 'id': 365}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",29/4/1994,0,97,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Two Women. Three Men. One Secret.,The Favor,FALSE,3.3,6
2592,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,tt0137363,en,Arlington Road,Threats from sinister foreign nationals aren't the only thing to fear. Bedraggled college professor Michael Faraday has been vexed (and increasingly paranoid) since his wife's accidental death in a botched FBI operation. But all that takes a backseat when a seemingly all-American couple set up house next door.,8.605659,/jMwDRI4qu5FrSAzf7BfNveuRVf9.jpg,"[{'name': 'Lakeshore Entertainment', 'id': 126}, {'name': 'Screen Gems', 'id': 3287}, {'name': 'Arlington Road Productions Corporation', 'id': 22512}, {'name': 'Gorai / Samuelson Productions', 'id': 22513}, {'name': 'Samuelson Productions', 'id': 22514}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",19/3/1999,0,117,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Your Paranoia Is Real.,Arlington Road,FALSE,7,246
22770,"[{'id': 99, 'name': 'Documentary'}]",,tt0342180,en,A Certain Kind of Death,"Unblinking and unsettling, this documentary lays bare a mysterious process that goes on all around us - what happens to people who die with no next of kin.",0.388139,/oj23rwBgCZF4ULvYJNh7YNIc0Lx.jpg,[],[],1/1/2003,0,69,[],Released,,A Certain Kind of Death,FALSE,6.5,9
43233,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",,tt2334871,en,Snatched,"When her boyfriend dumps Emily, a spontaneous woman in her 30s, she persuades her ultra-cautious mom to accompany her on a vacation to Ecuador. When these two very different women are trapped on this wild journey, their bond as mother and daughter is tested and strengthened while they attempt to navigate the jungle and escape.",11.214779,/gsleO1KultziWltEAngAEZkxQhf.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Chernin Entertainment', 'id': 7076}, {'name': 'Feigco Entertainment', 'id': 61791}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/5/2017,60845711,90,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"Mess with me, mess with my mother.",Snatched,FALSE,5.2,207
25152,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,tt0302531,en,Endangered Species,"When police are puzzled by several horrific murders, they assume they have a serial killer on their hands. But soon they realise that the unimaginable has happened. A killing machine from another world has arrived on Earth determined to brutally execute human beings. Finding themselves out of their depth they are forced to rely on a mysterious alien hunter that has volunteered his help.",1.286525,/pDB7ge70RS2YDvZ45Vw02oL9T0j.jpg,"[{'name': 'Drotcroft Limited', 'id': 10789}, {'name': 'MBP (Germany)', 'id': 10791}, {'name': 'Weintraub/Kuhn Productions', 'id': 10792}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",13/11/2003,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Earth is a Battle Ground,Endangered Species,FALSE,5.5,4
26522,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,tt0053354,en,The 39 Steps,"Remake of the classic hitchcock movie. Whilst generally not as good, it is a rather fun movie, and more lighthearted than the original. This is largely due to Kenneth More's acting.",1.451635,/cZLUatB2zJy03q2d2tyAmlTevKl.jpg,"[{'name': 'The Rank Organisation', 'id': 364}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",13/3/1959,0,93,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The 39 Steps,FALSE,6.5,7
24336,"[{'id': 35, 'name': 'Comedy'}]",,tt3766424,en,Jackass Presents: Bad Grandpa .5,"Bad Grandpa .5 gives you a whole new perspective on the world of Irving Zisman with bonus scenes and pranks also featuring Spike Jonze as ""Gloria"" and Catherine Keener as Irving's wife ""Ellie"", plus a look at the evolution of Johnny Knoxville's naughty alter-ego, the makeup effects, and a behind-the-scenes peek at the idiocy it takes to make a hidden camera movie in public.",9.911275,/8EAzHKPtMqF16rMQdlzXhV6lHth.jpg,"[{'name': 'MTV Films', 'id': 746}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/6/2014,0,76,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Unrated,Bad Grandpa .5,FALSE,5.8,90
38811,[],,tt0098222,en,Rooftops,"T, as most of his friends, lives in a self-constructed 'house', built on top of an old building in the city. Their one passion is 'combat'. Combat is a dance/streetfight during which the contestants try to push each other out of the arena, while not allowed to actually touch each other. When drugdealers move into the neighbourhood and kill T's best friend he embarks on a mission to eradicate the drug-presence in the neigbourhood. His friends are reluctant to help though, knowing what happened to T's friend when he crossed them.",0.001393,/8bFAuHzJZ38EtxbUI3NqQeoTfWS.jpg,[],[],17/3/1989,0,98,[],Released,Rooftops. It's the only place to be.,Rooftops,FALSE,4.3,3
17571,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",http://almanya-film.de/,tt1630027,de,Almanya - Willkommen in Deutschland,"After living 45 years in Germany, the Turkish Hüseyin Yilmaz, seventy,  announces to his family that he has bought a house in Turkey and they should return to make the necessary reforms. The idea is unwelcome and causes very heated discussions. In addition, Canan, a granddaughter of Hüseyin, announces she is pregnant and the father is her English boyfriend, and no one knew anything. To comfort his cousin Cenk, a child of six years, who was humiliated at school and labeled as ""foreign"", Canan tells a fantastic story about how they left Turkey and went to Germany.",4.965281,/yppy37DEChYfV6LLtTwkAPAt3bE.jpg,"[{'name': 'Roxy Film', 'id': 101}, {'name': 'Infafilm', 'id': 1707}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",13/5/2011,0,101,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}]",Released,,Almanya: Welcome to Germany,FALSE,6.5,53
